item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,F,I,C,G,3;G,H,E,I,A,2;A,B,F,H,C,3;H,I,D,J,A,2;B,C,D,F,J,1;F,G,J,H,D,2;I,J,A,C,G,1;J,A,B,G,E,1;C,D,I,H,E,3;D,E,B,I,F,3
B,C,I,D,F,2;A,B,D,I,C,3;D,E,F,J,H,1;E,F,G,J,B,1;C,D,A,E,H,2;G,H,I,D,B,1;H,I,E,J,B,2;F,G,J,B,H,3;J,A,D,G,B,3;I,J,A,B,E,1
J,A,B,H,D,1;E,F,B,J,G,3;A,B,H,C,D,2;G,H,B,E,I,3;B,C,G,J,D,3;I,J,C,A,E,2;F,G,H,A,B,1;H,I,A,F,J,3;D,E,A,H,F,3;C,D,F,E,J,2
I,J,F,A,C,2;A,B,I,F,C,3;D,E,F,J,H,1;J,A,E,H,B,3;F,G,H,A,C,1;C,D,E,I,H,1;E,F,C,I,G,3;H,I,D,A,J,3;G,H,I,J,D,1;B,C,J,E,D,3
E,F,I,C,G,3;D,E,H,F,B,2;A,B,C,H,E,1;C,D,E,F,I,1;I,J,G,A,D,2;H,I,D,J,C,2;G,H,D,I,B,2;J,A,H,C,B,3;B,C,E,J,D,3;F,G,J,H,B,2
I,J,G,C,A,3;D,E,A,F,G,2;G,H,J,D,I,3;A,B,F,C,I,2;E,F,B,G,J,2;F,G,H,D,A,1;C,D,H,J,E,3;B,C,D,J,E,1;J,A,B,H,C,1;H,I,F,A,J,3
D,E,A,I,F,3;E,F,G,H,A,1;C,D,J,E,F,2;B,C,D,J,F,1;F,G,C,H,I,2;A,B,E,H,C,3;I,J,C,A,E,2;H,I,B,E,J,3;J,A,B,G,C,1;G,H,I,E,J,1
C,D,E,H,J,1;B,C,H,E,D,3;F,G,C,A,H,3;H,I,J,A,D,1;J,A,E,B,G,2;D,E,G,B,F,3;G,H,J,I,C,2;A,B,F,G,C,3;E,F,J,G,C,2;I,J,A,C,G,1
C,D,F,E,I,2;E,F,G,I,C,1;G,H,I,C,A,1;B,C,E,H,D,3;I,J,G,A,C,2;J,A,C,H,B,3;F,G,H,J,D,1;H,I,F,C,J,3;A,B,G,F,C,3;D,E,H,J,F,3
F,G,H,C,A,1;D,E,J,F,H,2;H,I,A,F,J,3;E,F,H,G,B,2;I,J,C,G,A,3;G,H,I,B,D,1;B,C,G,I,D,3;C,D,E,A,G,1;J,A,E,F,B,3;A,B,F,C,H,2
I,J,C,A,G,2;J,A,B,H,E,1;E,F,G,A,H,1;F,G,D,I,H,3;D,E,B,H,F,3;B,C,H,D,E,2;G,H,C,A,I,3;H,I,C,E,J,3;C,D,F,I,E,3;A,B,D,C,H,2
J,A,D,B,F,2;C,D,H,I,E,3;B,C,E,D,J,2;E,F,G,A,J,1;F,G,J,D,H,3;A,B,F,I,C,3;I,J,A,F,B,1;D,E,B,F,G,2;G,H,I,J,D,1;H,I,D,A,J,3
C,D,E,A,F,1;G,H,E,I,B,2;E,F,C,J,G,3;A,B,H,C,E,2;D,E,H,J,F,3;J,A,G,E,B,3;H,I,J,A,D,1;F,G,H,C,J,1;B,C,D,F,J,1;I,J,B,E,A,3
G,H,C,A,I,3;C,D,H,E,A,2;A,B,C,F,H,1;D,E,F,I,J,1;H,I,C,E,J,3;F,G,D,H,I,2;E,F,G,B,H,1;J,A,G,B,E,2;I,J,D,A,F,2;B,C,I,G,D,3
I,J,A,E,B,1;H,I,D,J,B,2;E,F,G,B,H,1;G,H,C,A,I,3;D,E,I,A,F,3;B,C,D,E,H,1;C,D,J,E,H,2;F,G,B,A,H,3;J,A,B,D,F,1;A,B,F,C,G,2
