item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,B,J,C,D,2;C,D,E,G,K,1;D,E,G,K,B,3;B,C,K,E,D,3;N,O,P,F,C,1;G,H,N,J,I,3;F,G,J,N,H,3;A,N,O,F,P,1;J,K,A,L,B,2;I,F,L,J,O,2;B,F,G,I,J,1;M,J,A,E,O,1;E,B,L,F,I,2;H,I,F,N,K,1;K,L,C,J,M,3;O,P,B,A,G,2;F,J,L,A,K,3;J,A,O,N,F,2;L,M,J,D,A,1;P,A,B,F,D,1
I,F,A,J,K,2;J,K,L,C,M,1;D,E,B,M,F,1;A,B,J,C,D,2;K,L,D,J,M,3;F,G,A,J,H,3;J,A,F,N,O,2;M,J,A,D,P,1;H,I,K,P,F,3;C,D,J,E,B,2;F,J,P,L,K,3;B,C,D,J,F,1;N,O,F,P,C,2;E,B,L,I,F,3;G,H,I,K,A,1;B,F,G,H,M,1;O,P,I,A,D,2;L,M,J,D,N,1;P,A,C,B,H,2;A,N,B,P,O,3
N,O,P,B,F,1;L,M,C,J,N,2;D,E,B,M,G,1;F,J,L,A,K,3;A,N,F,B,O,3;O,P,B,A,H,2;F,G,J,N,H,3;B,F,J,I,G,3;G,H,N,J,I,3;E,B,F,M,G,1;M,J,A,O,B,1;A,B,D,I,C,3;J,K,B,L,M,2;H,I,P,F,L,2;I,F,P,J,L,2;K,L,M,N,D,1;B,C,F,D,K,2;P,A,B,D,H,1;C,D,J,F,E,3;J,A,P,F,N,3
I,F,J,P,L,1;E,B,J,H,F,3;J,K,A,L,B,2;P,A,F,E,B,3;L,M,A,J,E,2;J,A,P,B,N,3;F,J,K,L,A,1;A,N,P,B,O,3;K,L,A,C,M,3;D,E,B,F,L,1;C,D,F,E,L,2;A,B,J,C,E,2;G,H,I,A,J,1;H,I,L,F,N,2;F,G,H,J,I,1;B,C,F,D,E,2;M,J,P,A,D,2;O,P,G,A,C,2;B,F,I,J,G,3;N,O,G,P,C,2
N,O,P,G,C,1;I,F,A,L,J,3;E,B,G,F,L,2;A,N,P,O,F,2;F,G,I,H,J,2;H,I,N,K,F,3;G,H,K,I,A,2;O,P,A,H,D,1;L,M,A,E,J,3;P,A,B,D,H,1;C,D,L,B,E,3;F,J,L,K,A,2;M,J,A,B,O,1;D,E,B,M,H,1;K,L,J,D,M,3;A,B,E,F,C,3;J,K,B,L,A,2;J,A,B,N,P,2;B,C,E,F,D,3;B,F,J,G,I,2
F,G,H,I,J,1;P,A,B,C,H,1;C,D,K,B,E,3;K,L,M,C,J,1;F,J,L,K,P,2;G,H,A,K,I,3;J,K,L,M,A,1;A,N,F,O,B,2;M,J,B,A,O,2;L,M,E,A,J,3;H,I,F,P,J,1;B,F,H,G,M,2;A,B,I,C,E,2;E,B,M,I,F,3;B,C,F,D,E,2;I,F,K,A,J,3;O,P,A,B,I,1;J,A,O,N,B,2;D,E,L,G,B,3;N,O,P,A,F,1
B,F,H,M,G,3;J,K,M,L,B,2;D,E,H,B,M,2;C,D,B,E,J,2;N,O,P,F,B,1;G,H,A,J,I,3;F,J,K,M,A,1;F,G,H,J,N,1;M,J,N,E,A,3;O,P,I,D,A,3;H,I,F,K,O,1;I,F,J,O,M,1;L,M,C,A,J,3;E,B,F,J,H,1;J,A,F,N,P,2;P,A,F,B,C,2;A,B,C,I,E,1;A,N,O,B,F,1;B,C,E,D,K,2;K,L,D,M,J,2
D,E,F,B,L,2;O,P,G,C,A,3;J,K,L,C,A,1;M,J,O,A,B,2;N,O,P,C,G,1;B,F,G,J,H,1;E,B,J,F,H,2;L,M,D,J,N,2;G,H,F,O,I,3;J,A,N,E,P,1;B,C,F,E,D,3;C,D,J,G,E,3;A,N,B,P,O,3;P,A,I,B,C,2;A,B,E,I,C,3;H,I,J,O,F,3;K,L,J,M,C,2;F,G,H,I,J,1;F,J,B,L,K,3;I,F,A,J,L,2
H,I,J,F,O,2;L,M,A,D,J,3;I,F,J,O,K,1;B,C,J,F,D,3;J,A,B,O,N,3;N,O,P,B,H,1;E,B,G,F,M,2;M,J,A,N,E,1;F,J,L,A,K,3;A,B,D,C,J,2;J,K,L,B,M,1;K,L,C,M,A,2;D,E,G,M,B,3;P,A,H,C,B,3;A,N,O,B,P,1;B,F,M,G,H,2;O,P,H,D,A,3;F,G,I,H,A,2;G,H,I,F,N,1;C,D,F,E,L,2
P,A,E,H,B,3;C,D,F,K,E,3;N,O,P,A,F,1;I,F,O,J,M,2;J,A,N,O,F,1;F,J,K,L,P,1;D,E,B,G,L,1;O,P,B,H,A,3;A,N,P,O,F,2;L,M,J,E,A,1;K,L,D,M,A,2;B,C,K,D,E,2;F,G,H,J,A,1;A,B,C,I,E,1;H,I,K,F,N,2;J,K,L,B,M,1;M,J,D,O,A,3;B,F,H,G,A,2;E,B,J,F,H,2;G,H,J,O,I,3
