item1,item2,choice1,choice2,choice3,correct_choice (1-3)
D,E,L,H,B,3;L,M,J,O,D,1;H,I,F,L,P,1;P,A,C,F,B,3;A,N,B,O,G,2;I,F,P,L,J,3;O,P,C,A,I,2;F,G,A,I,H,3;E,B,F,I,L,1;B,F,A,G,H,2;A,B,D,C,J,2;C,D,F,J,E,3;M,J,A,P,E,1;N,O,H,A,P,3;J,K,L,A,B,1;B,C,D,F,J,1;G,H,O,J,I,3;F,J,L,K,P,2;K,L,B,M,N,2;J,A,P,E,N,3
O,P,H,D,A,3;P,A,E,B,I,2;A,N,P,O,G,2;I,F,J,P,M,1;L,M,J,N,D,1;N,O,P,C,G,1;D,E,M,G,B,3;M,J,E,A,O,2;F,G,H,J,N,1;H,I,N,F,L,2;C,D,E,K,G,1;E,B,J,F,G,2;B,F,G,M,I,1;K,L,J,C,M,3;F,J,A,L,K,3;J,A,E,O,N,3;A,B,J,C,D,2;B,C,K,D,E,2;G,H,O,K,I,3;J,K,L,M,A,1
F,G,I,H,A,2;B,C,K,E,D,3;A,N,O,B,F,1;P,A,E,H,B,3;L,M,J,O,C,1;M,J,N,A,E,2;K,L,M,D,A,1;G,H,N,F,I,3;F,J,L,K,B,2;D,E,F,L,B,3;B,F,H,M,G,3;A,B,E,C,F,2;H,I,F,L,P,1;C,D,B,E,K,2;J,A,B,P,N,3;I,F,J,O,M,1;N,O,P,G,A,1;E,B,F,G,J,1;O,P,I,A,D,2;J,K,L,M,A,1
J,K,A,C,L,3;O,P,A,D,I,1;D,E,G,M,B,3;L,M,O,J,E,2;I,F,J,A,K,1;F,J,L,A,K,3;F,G,H,A,J,1;C,D,B,J,E,3;M,J,N,A,B,2;B,C,E,D,J,2;B,F,G,A,I,1;H,I,J,O,F,3;A,B,D,C,I,2;P,A,B,H,C,1;J,A,P,N,E,2;G,H,J,I,O,2;N,O,G,P,B,2;A,N,B,F,O,3;K,L,B,M,N,2;E,B,F,G,L,1
K,L,B,M,N,2;J,A,N,P,F,1;H,I,N,K,F,3;L,M,O,D,J,3;J,K,L,C,M,1;I,F,L,J,O,2;N,O,H,A,P,3;A,B,E,C,I,2;A,N,O,P,G,1;F,J,P,M,K,3;D,E,B,M,F,1;G,H,I,N,J,1;E,B,M,F,I,2;F,G,I,H,N,2;M,J,D,A,O,2;B,C,F,K,D,3;B,F,H,M,G,3;C,D,E,J,G,1;P,A,B,I,E,1;O,P,I,A,B,2
F,J,K,P,L,1;H,I,K,F,P,2;I,F,L,J,P,2;G,H,F,N,I,3;E,B,M,F,H,2;K,L,M,C,N,1;L,M,E,J,O,2;J,K,L,B,A,1;F,G,N,I,H,3;B,C,E,F,D,3;B,F,G,M,H,1;D,E,B,M,G,1;O,P,A,B,I,1;M,J,D,O,A,3;A,N,G,B,O,3;N,O,B,P,G,2;A,B,D,C,J,2;C,D,E,L,B,1;P,A,I,B,E,2;J,A,E,O,N,3
O,P,A,D,I,1;N,O,F,P,A,2;P,A,I,D,B,3;D,E,B,F,L,1;L,M,O,C,J,3;G,H,I,A,F,1;B,F,H,G,M,2;B,C,K,D,F,2;I,F,L,J,O,2;F,J,K,L,A,1;K,L,A,C,M,3;F,G,H,I,J,1;E,B,L,F,I,2;H,I,F,K,P,1;J,A,N,O,F,1;M,J,E,A,P,2;A,B,F,D,C,3;J,K,B,L,A,2;C,D,G,J,E,3;A,N,B,F,O,3
M,J,P,A,E,2;J,K,B,M,L,3;K,L,A,M,C,2;C,D,G,L,E,3;F,G,H,I,N,1;G,H,I,A,F,1;J,A,P,N,E,2;F,J,P,K,L,2;E,B,F,L,G,1;N,O,P,H,C,1;A,B,D,F,C,3;O,P,G,D,A,3;H,I,J,F,N,2;D,E,B,M,G,1;P,A,B,C,H,1;L,M,J,E,A,1;I,F,P,K,J,3;B,F,A,G,I,2;B,C,E,D,K,2;A,N,F,B,O,3
G,H,A,I,J,2;L,M,D,A,J,3;E,B,F,M,I,1;M,J,D,N,A,3;F,G,H,I,A,1;I,F,A,J,M,2;H,I,F,P,L,1;A,B,J,E,C,3;F,J,M,K,P,2;A,N,B,O,G,2;C,D,E,L,B,1;J,K,M,C,L,3;O,P,C,A,H,2;N,O,F,P,C,2;P,A,B,F,D,1;B,C,K,E,D,3;D,E,B,K,H,1;K,L,D,N,M,3;J,A,N,E,P,1;B,F,I,J,G,3
B,C,F,E,D,3;J,K,M,L,A,2;M,J,E,O,A,3;J,A,O,E,N,3;H,I,J,F,O,2;A,B,C,E,F,1;F,J,K,L,B,1;K,L,B,J,M,3;A,N,P,B,O,3;I,F,J,A,M,1;L,M,C,J,O,2;G,H,K,I,N,2;F,G,J,N,H,3;B,F,A,I,G,3;E,B,H,M,F,3;N,O,P,C,G,1;C,D,E,F,L,1;P,A,B,D,I,1;O,P,D,H,A,3;D,E,G,B,L,2
