item1,item2,choice1,choice2,choice3,correct_choice (1-3)
A,N,P,G,O,3;B,C,D,E,J,1;L,M,J,O,C,1;C,D,K,B,E,3;P,A,I,B,C,2;I,F,A,J,M,2;H,I,F,J,N,1;N,O,F,C,P,3;J,A,E,N,P,2;A,B,E,F,C,3;M,J,A,O,E,1;G,H,J,N,I,3;E,B,F,J,H,1;F,J,L,K,P,2;O,P,H,A,D,2;J,K,L,M,C,1;B,F,I,A,G,3;K,L,B,A,M,3;F,G,H,J,A,1;D,E,B,H,L,1
G,H,A,I,K,2;P,A,F,B,C,2;J,A,P,E,N,3;B,F,M,G,I,2;M,J,A,D,N,1;A,B,I,C,E,2;A,N,O,F,B,1;J,K,L,C,M,1;L,M,D,N,J,3;I,F,P,M,J,3;O,P,C,H,A,3;C,D,G,E,J,2;H,I,P,F,K,2;E,B,J,I,F,3;B,C,D,J,E,1;N,O,P,A,G,1;D,E,B,K,H,1;F,G,A,J,H,3;K,L,C,M,A,2;F,J,B,K,L,2
C,D,E,J,F,1;J,K,C,M,L,3;G,H,I,J,A,1;H,I,O,J,F,3;J,A,P,N,F,2;B,F,G,A,H,1;E,B,M,G,F,3;D,E,G,L,B,3;F,J,K,A,M,1;O,P,I,A,C,2;A,N,F,B,O,3;B,C,E,D,F,2;I,F,J,M,O,1;M,J,B,N,A,3;F,G,A,H,J,2;L,M,J,A,E,1;P,A,D,B,I,2;K,L,M,A,C,1;A,B,J,C,E,2;N,O,P,H,A,1
H,I,P,J,F,3;J,A,P,N,F,2;B,F,H,G,A,2;C,D,E,L,B,1;M,J,A,B,O,1;N,O,F,C,P,3;D,E,L,B,H,2;A,N,B,F,O,3;O,P,B,A,G,2;F,G,H,I,A,1;I,F,L,P,J,3;K,L,A,D,M,3;B,C,E,D,F,2;P,A,H,B,C,2;E,B,H,F,J,2;A,B,C,F,E,1;L,M,J,D,N,1;F,J,M,K,B,2;J,K,L,A,M,1;G,H,I,N,J,1
E,B,I,J,F,3;F,G,N,J,H,3;A,B,D,C,J,2;M,J,B,O,A,3;B,F,I,G,J,2;L,M,J,N,C,1;K,L,M,B,J,1;G,H,F,I,A,2;B,C,D,K,F,1;I,F,P,M,J,3;F,J,K,M,B,1;D,E,L,B,F,2;H,I,J,N,F,3;J,A,O,N,B,2;N,O,A,P,G,2;J,K,L,B,A,1;O,P,A,G,D,1;P,A,C,I,B,3;A,N,B,O,G,2;C,D,B,E,K,2
I,F,L,O,J,3;F,J,M,A,K,3;K,L,M,A,B,1;G,H,I,F,O,1;O,P,A,C,H,1;J,A,O,N,F,2;E,B,I,L,F,3;J,K,M,B,L,3;B,C,F,D,E,2;P,A,E,B,H,2;M,J,P,A,B,2;N,O,P,A,H,1;H,I,F,N,J,1;L,M,E,O,J,3;F,G,J,I,H,3;A,N,B,P,O,3;B,F,I,G,A,2;D,E,M,B,F,2;A,B,C,J,D,1;C,D,B,E,K,2
J,A,F,O,N,3;C,D,B,E,J,2;A,N,B,F,O,3;J,K,L,A,C,1;B,F,A,I,G,3;D,E,B,F,L,1;F,J,K,A,M,1;F,G,H,I,J,1;M,J,E,A,P,2;P,A,C,B,F,2;G,H,F,A,I,3;B,C,D,E,K,1;H,I,J,O,F,3;N,O,P,G,B,1;E,B,J,H,F,3;I,F,K,J,P,2;L,M,O,E,J,3;K,L,D,M,A,2;O,P,A,B,G,1;A,B,E,C,I,2
F,G,J,A,H,3;H,I,O,F,K,2;N,O,C,H,P,3;B,F,H,G,M,2;K,L,M,C,N,1;O,P,B,I,A,3;F,J,K,M,P,1;P,A,B,D,I,1;A,N,F,B,O,3;J,A,E,N,O,2;I,F,A,M,J,3;D,E,L,G,B,3;M,J,A,B,O,1;B,C,D,E,J,1;G,H,I,K,A,1;A,B,I,C,D,2;C,D,K,F,E,3;J,K,L,C,M,1;L,M,J,A,C,1;E,B,H,J,F,3
E,B,J,H,F,3;M,J,A,N,D,1;C,D,K,E,G,2;P,A,E,F,B,3;L,M,J,D,A,1;F,G,A,H,J,2;D,E,H,M,B,3;H,I,K,N,F,3;N,O,P,G,C,1;K,L,B,N,M,3;A,B,F,C,D,2;B,C,J,E,D,3;F,J,K,B,M,1;O,P,A,D,G,1;B,F,I,A,G,3;I,F,A,J,K,2;G,H,I,F,N,1;A,N,P,G,O,3;J,K,C,A,L,3;J,A,O,N,E,2
G,H,F,I,O,2;H,I,J,N,F,3;E,B,H,J,F,3;F,J,L,A,K,3;M,J,A,N,B,1;B,F,J,G,I,2;A,N,P,O,G,2;B,C,K,D,F,2;C,D,E,J,B,1;N,O,P,C,G,1;J,A,O,B,N,3;L,M,E,N,J,3;P,A,B,E,F,1;D,E,B,H,M,1;O,P,G,A,C,2;F,G,J,H,N,2;I,F,A,K,J,3;K,L,N,B,M,3;A,B,C,E,J,1;J,K,M,L,A,2
