item1,item2,choice1,choice2,choice3,correct_choice (1-3)
E,H,C,I,J,2;C,D,F,B,E,3;G,E,C,H,B,2;J,A,D,B,F,2;I,B,J,D,C,1;A,B,G,E,C,3;F,G,E,A,H,1;B,J,G,C,A,3;B,C,D,E,I,1;D,E,G,F,I,2;H,I,A,E,B,3;E,F,G,H,A,1
D,E,H,F,I,2;G,E,H,C,J,1;B,C,F,D,I,2;H,I,D,J,B,3;C,D,H,E,G,2;I,B,A,D,J,3;E,H,I,B,A,1;A,B,G,F,C,3;E,F,H,G,B,2;J,A,F,E,B,3;B,J,A,D,E,1;F,G,H,A,E,3
F,G,A,B,E,3;G,E,H,J,A,1;B,J,C,A,G,2;E,H,I,C,A,1;H,I,C,A,B,3;D,E,F,I,H,1;E,F,G,J,I,1;A,B,H,C,D,2;I,B,F,J,C,2;C,D,I,F,E,3;J,A,E,C,B,3;B,C,F,D,I,2
G,E,I,A,H,3;H,I,B,A,C,1;A,B,H,D,C,3;B,C,I,D,E,2;E,F,G,A,H,1;J,A,B,F,C,1;F,G,H,B,E,3;E,H,B,D,I,3;I,B,J,C,F,1;C,D,F,E,B,2;B,J,A,C,E,1;D,E,G,I,F,3
G,E,B,I,H,3;A,B,D,C,H,2;B,J,C,A,G,2;E,F,G,J,H,1;B,C,E,D,I,2;H,I,B,D,J,1;J,A,B,F,C,1;D,E,I,F,G,2;E,H,B,C,I,3;C,D,E,G,H,1;F,G,J,B,E,3;I,B,C,F,J,3
E,H,A,B,I,3;J,A,C,B,E,2;I,B,A,D,J,3;E,F,G,I,J,1;G,E,H,A,J,1;A,B,G,E,C,3;B,J,C,A,F,2;F,G,I,E,A,2;H,I,B,C,J,1;C,D,F,H,E,3;B,C,I,G,D,3;D,E,J,F,G,2
E,H,D,J,I,3;A,B,G,C,D,2;B,J,A,G,D,1;C,D,E,H,F,1;I,B,E,C,J,3;D,E,F,H,I,1;E,F,H,G,J,2;J,A,D,B,E,2;G,E,H,C,I,1;B,C,I,G,D,3;H,I,B,A,E,1;F,G,A,E,I,2
J,A,B,C,E,1;I,B,C,J,D,2;B,C,G,H,D,3;C,D,H,E,G,2;B,J,A,D,G,1;A,B,C,H,F,1;E,F,A,H,G,3;H,I,J,E,B,3;D,E,G,I,F,3;G,E,B,H,C,2;F,G,B,E,H,2;E,H,J,D,I,3
B,C,D,H,E,1;B,J,C,G,A,3;E,H,B,D,I,3;G,E,C,B,H,3;C,D,F,E,B,2;A,B,D,C,G,2;E,F,H,G,B,2;F,G,E,I,J,1;H,I,B,E,J,1;I,B,F,C,J,3;J,A,B,F,C,1;D,E,I,F,G,2
H,I,E,B,J,2;I,B,J,E,A,1;B,C,E,F,D,3;J,A,C,B,F,2;G,E,C,B,H,3;E,F,J,I,G,3;A,B,D,C,H,2;F,G,H,E,J,2;C,D,F,I,E,3;D,E,G,J,F,3;B,J,A,G,C,1;E,H,B,J,I,3
C,D,E,F,H,1;E,H,C,B,I,3;B,J,C,A,E,2;H,I,J,B,C,2;B,C,D,I,G,1;G,E,J,H,A,2;D,E,G,I,F,3;J,A,D,B,E,2;A,B,D,E,C,3;F,G,I,E,A,2;I,B,A,E,J,3;E,F,I,G,J,2
F,G,B,E,J,2;E,H,I,D,A,1;D,E,I,G,F,3;C,D,H,G,E,3;B,J,A,D,F,1;A,B,C,D,E,1;E,F,I,G,J,2;G,E,B,I,H,3;B,C,D,F,I,1;J,A,E,B,F,2;H,I,E,B,A,2;I,B,C,F,J,3
A,B,F,H,C,3;B,C,D,G,E,1;I,B,J,A,E,1;G,E,B,H,I,2;D,E,J,H,F,3;C,D,F,E,B,2;F,G,A,E,B,2;E,H,C,I,A,2;B,J,C,G,A,3;E,F,G,A,H,1;J,A,B,E,C,1;H,I,E,B,J,2
D,E,F,I,H,1;C,D,B,E,G,2;E,F,I,G,J,2;H,I,A,E,B,3;J,A,F,B,C,2;B,C,D,H,F,1;B,J,G,A,C,2;F,G,E,B,H,1;A,B,C,G,E,1;G,E,J,C,H,3;E,H,C,A,I,3;I,B,C,D,J,3
B,J,F,C,A,3;D,E,F,H,J,1;I,B,J,F,C,1;E,H,D,I,B,2;E,F,A,G,I,2;J,A,G,E,B,3;C,D,G,E,H,2;H,I,B,C,J,1;G,E,H,B,I,1;A,B,H,E,C,3;F,G,H,E,J,2;B,C,H,F,D,3
